Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,263563622,3381.3876105686604,3973600,50.9792728882578,653682,5232562,67.13111689720357,47864,0.6140708469709019,7804,
United States of America,Americas,48413265,14626.247,605870,183.041,131187,778336,235.145,6388,1.93,1831
India,South-East Asia,34615757,2508.38,60326,4.371,9216,470115,34.066,2647,0.192,391
Brazil,Americas,22105872,10399.855,62760,29.526,11413,614964,289.314,1625,0.764,283
The United Kingdom,Europe,10329078,15215.328,307577,453.079,53067,145281,214.007,848,1.249,141
Russian Federation,Europe,9736037,6671.513,233158,159.769,32930,278857,191.084,8565,5.869,1217
Turkey,Europe,8839891,10481.372,163252,193.566,21747,77230,91.571,1390,1.648,192
France,Europe,7538806,11591.144,253678,390.038,48129,116847,179.656,533,0.82,97
Iran (Islamic Republic of),Eastern Mediterranean,6125596,7292.988,27924,33.246,3839,129988,154.761,612,0.729,76
Germany,Europe,6051560,7276.421,401390,482.633,74352,102568,123.328,2092,2.515,390
Argentina,Americas,5332629,11798.955,12762,28.237,1881,116597,257.982,139,0.308,8
Spain,Europe,5189220,10963.307,62430,131.896,8331,88122,186.176,131,0.277,7
Colombia,Americas,5071817,9967.627,16564,32.553,2173,128586,252.71,350,0.688,58
Italy,Europe,5060430,8484.748,92089,154.404,16810,134003,224.681,517,0.867,72
Indonesia,South-East Asia,4257243,1556.444,1975,0.722,245,143858,52.594,62,0.023,8
Mexico,Americas,3891218,3018.021,11132,8.634,3345,294428,228.358,647,0.502,182
Poland,Europe,3623452,9545.916,162326,427.645,26961,85126,224.263,2516,6.628,470
Ukraine,Europe,3477649,7951.864,77309,176.772,13777,87566,200.225,3417,7.813,509
South Africa,Africa,2988148,5038.297,35648,60.106,11535,89915,151.605,144,0.243,44
Philippines,Western Pacific,2833473,2585.732,3872,3.533,564,48752,44.489,877,0.8,40
Netherlands,Europe,2684734,15422.783,150800,866.289,23142,19524,112.158,366,2.103,65
Malaysia,Western Pacific,2644027,8169.15,35048,108.286,5806,30521,94.3,326,1.007,47
Peru,Americas,2237842,6787.128,9630,29.207,1491,201209,610.245,248,0.752,33
Czechia,Europe,2211972,20684.352,121494,1136.101,18582,33450,312.794,723,6.761,50
Thailand,South-East Asia,2130641,3052.495,35755,51.225,4912,20880,29.914,235,0.337,33
Iraq,Eastern Mediterranean,2082774,5178.133,5109,12.702,713,23859,59.318,111,0.276,15
Belgium,Europe,1809557,15704.634,93180,808.683,11,27120,235.367,284,2.465,10
Canada,Americas,1795629,4757.622,20683,54.801,3129,29714,78.729,134,0.355,27
Romania,Europe,1781957,9219.163,10070,52.098,1149,56684,293.261,855,4.423,66
Chile,Americas,1766493,9240.816,14724,77.024,2219,38403,200.892,185,0.968,47
Japan,Western Pacific,1727560,1365.914,737,0.583,129,18363,14.519,10,0.008,1
Bangladesh,South-East Asia,1576827,957.455,1403,0.852,0,27986,16.993,13,0.008,0
Israel,Europe,1344780,15536.637,3538,40.876,478,8199,94.725,10,0.116,0
Pakistan,Eastern Mediterranean,1285631,582.017,2408,1.09,377,28745,13.013,55,0.025,8
Viet Nam,Western Pacific,1266288,1300.911,98060,100.741,13698,25658,26.36,1251,1.285,210
Serbia,Europe,1259005,18176.102,14836,214.186,1980,11792,170.24,359,5.183,48
Sweden,Europe,1209935,11715.561,13207,127.881,2416,15164,146.83,4,0.039,0
Austria,Europe,1177714,13231.16,70289,789.67,8506,12196,137.017,371,4.168,76
Portugal,Europe,1154817,11216.27,21576,209.559,2898,18471,179.401,86,0.835,13
Hungary,Europe,1134869,11616.418,65981,675.376,10143,35122,359.506,1256,12.856,191
Kazakhstan,Europe,1056517,5626.743,5817,30.98,738,17895,95.304,130,0.692,24
Switzerland,Europe,1029813,11899,42295,488.699,9,11131,128.613,82,0.947,0
Cuba,Americas,962778,8500.138,1080,9.535,150,8305,73.323,6,0.053,0
Jordan,Eastern Mediterranean,958990,9398.975,26451,259.244,0,11633,114.014,174,1.705,0
Greece,Europe,951351,8875.731,43129,402.377,6256,18325,170.965,632,5.896,91
Morocco,Eastern Mediterranean,950088,2574.028,710,1.924,0,14779,40.04,9,0.024,0
Georgia,Europe,857933,21506.527,26685,668.935,4100,12258,307.282,448,11.23,67
Nepal,South-East Asia,822172,2821.764,1645,5.646,223,11535,39.589,17,0.058,0
United Arab Emirates,Eastern Mediterranean,742109,7503.325,389,3.933,0,2148,21.718,3,0.03,0
